raw_rank,name,slug,parent,category,eth_tvl_usd,verdict,reason,github_orgs,audit_links,listed_at
19,USDT0,usdt0,,Bridge,3286903244,drop,category Bridge is not a DeFi protocol with its own contracts,,https://github.com/Everdawn-Labs/usdt0-audit-reports/blob/main/Guardian/2025-01-14_USDT0.pdf;https://github.com/Everdawn-Labs/usdt0-audit-reports/blob/main/ChainSecurity/ChainSecurity_USDT0_audit.pdf;https://github.com/Everdawn-Labs/usdt0-audit-reports/blob/main/Paladin/20250110_Paladin_Everdawn_Final_Report.pdf,1741877325
20,MEXC,mexc,,CEX,3274366066,drop,category CEX is not a DeFi protocol with its own contracts,,,1686152056
21,Base Bridge,base-bridge,,Canonical Bridge,3043521111,drop,deprecated,,,
22,Maple,maple,parent#maple-finance,Lending,2985858609,keep,,,https://github.com/maple-labs/maple-core#audit-reports,
23,Polygon Bridge,polygon-bridge,,Chain,2961232504,drop,category Chain is not a DeFi protocol with its own contracts,,,
24,Spark Liquidity Layer,spark-liquidity-layer,parent#spark,Onchain Capital Allocator,2384752035,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,https://docs.spark.fi/dev/security/security-and-audits#spark-liquidity-layer,1743696229
25,KuCoin,kucoin,,CEX,1671537250,drop,category CEX is not a DeFi protocol with its own contracts,,,1668191855
26,Bitget,bitget,,CEX,1528436356,drop,category CEX is not a DeFi protocol with its own contracts,,,1670842933
27,CCIP,ccip,parent#chainlink,Bridge,1432168019,drop,category Bridge is not a DeFi protocol with its own contracts,,,1780442964
28,Rocket Pool,rocket-pool,,Liquid Staking,1426042908,keep,,rocket-pool,https://rocketpool.net/files/sigma-prime-audit.pdf;https://consensys.net/diligence/audits/2021/04/rocketpool;https://github.com/trailofbits/publications/blob/master/reviews/RocketPool.pdf;https://immunefi.com/bounty/rocketpool,1637712907
29,Compound V3,compound-v3,parent#compound-finance,Lending,1415708279,keep,,,https://compound.finance/docs/security,1663169029
30,Sentora Curator,sentora-curator,parent#sentora,Risk Curators,1389184364,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1759454399
31,Portal,portal,,Bridge,1376305744,drop,category Bridge is not a DeFi protocol with its own contracts,wormhole-foundation,https://github.com/certusone/wormhole/blob/dev.v2/SECURITY.md,1647148275
32,Deribit,deribit,,CEX,1342352951,drop,category CEX is not a DeFi protocol with its own contracts,,,1668191855
33,Curve DEX,curve-dex,parent#curve-finance,Dexs,1259335414,keep,,,https://docs.curve.finance/references/audits/,
34,Bitstamp,bitstamp,,CEX,1221845152,drop,category CEX is not a DeFi protocol with its own contracts,,,1695297539
35,Falcon Finance,falcon-finance,,Basis Trading,1207784353,review,borderline category: Basis Trading,,https://docs.falcon.finance/resources/audits#smart-contract-audits,1759263444
36,Concrete,concrete,,Onchain Capital Allocator,1198694875,drop,category Onchain Capital Allocator is not a DeFi protocol with its own contracts,,https://docs.concrete.xyz/assets/files/Standard-Implementation-9948d7fcebb518e5c29051bc2326b5ec.pdf/;https://docs.concrete.xyz/assets/files/Zellic-Audit-Report-5dbb9d52d444adcd197dfbaa941a86ab.pdf/,1738937447
37,Kelp,kelp,parent#kelp-dao,Liquid Restaking,1169411053,keep,,,https://kelp.gitbook.io/kelp/audits,1703173957
38,StakeWise V3,stakewise-v3,parent#stakewise,Liquid Staking,1030391472,keep,,,https://github.com/stakewise/contracts/tree/master/audits,
39,Spark Savings,spark-savings,parent#spark,Yield,985773645,review,borderline category: Yield,,,1757630167
40,Steakhouse Financial,steakhouse-financial,,Risk Curators,924344072,drop,category Risk Curators is not a DeFi protocol with its own contracts,,,1747736199
41,Uniswap V3,uniswap-v3,parent#uniswap,Dexs,924287145,keep,,,https://github.com/Uniswap/uniswap-v3-core/tree/main/audits;https://github.com/Uniswap/uniswap-v3-periphery/tree/main/audits;https://github.com/ConsenSys/Uniswap-audit-report-2018-12,1666191475
42,Gemini,gemini,,CEX,917348559,drop,category CEX is not a DeFi protocol with its own contracts,,,1753349019
43,Liquid Collective,liquid-collective,,Liquid Staking,875483823,keep,,,https://liquidcollective.io/security-audits,1692193282
44,Poloniex,poloniex,,CEX,842039284,drop,category CEX is not a DeFi protocol with its own contracts,,,1772302711
45,Robinhood Chain Bridge,robinhood-chain-bridge,,Canonical Bridge,839361203,drop,category Canonical Bridge is not a DeFi protocol with its own contracts,,,1783361622
46,Uniswap V2,uniswap-v2,parent#uniswap,Dexs,818437987,review,sibling version of Uniswap V3 (separate codebase?),,https://github.com/Uniswap/uniswap-v3-core/tree/main/audits;https://github.com/Uniswap/uniswap-v3-periphery/tree/main/audits;https://github.com/ConsenSys/Uniswap-audit-report-2018-12,1666191162
47,Uniswap V4,uniswap-v4,parent#uniswap,Dexs,756013653,review,sibling version of Uniswap V3 (separate codebase?),,https://github.com/Uniswap/v4-core/tree/main/docs/security/audits;https://github.com/Uniswap/v4-periphery/tree/main/audits,1738172667
48,Tornado Cash,tornado-cash,,Privacy,744022012,drop,category Privacy is not a DeFi protocol with its own contracts,tornadocash,https://tornado.cash/#faq,
